159
  index       tf-idf
-------  -----------
   3053  0.0171683
   5002  0.0316192
  11930  0.0394295
  12067  0.0394295
   4181  0.0343365
   3982  0.00914527
   1788  0.0155746
   8584  0.0270504
  12090  0.0394295
   2467  0.0788591
   5874  0.0197302
   6166  0.0238088
   7408  0.00620503
  10820  0.0515843
   3256  0.0241865
   9057  0.0162689
   9427  0.0355243
   2242  0.0177378
   4460  0.0394295
  10242  0.0394295
   3987  0.0162689
   4108  0.0355243
   2607  0.0284663
    143  0.0788591
   5574  0.0200825
   2928  0.0300604
  12064  0.0676683
   9797  0.0264568
   7652  0.0394295
   3249  0.0773765
   7655  0.0747829
    838  0.0215244
  11716  0.0259198
   5656  0.0355243
  12110  0.357916
   7431  0.00818806
  10145  0.0206559
   2907  0.0151048
   5334  0.0363734
  10366  0.0410686
  10127  0.0220146
   8904  0.0103312
   4966  0.364167
   2121  0.0264183
   8734  0.0176192
    254  0.0394295
   8999  0.03324
  11238  0.0394295
   9040  0.0394295
   7194  0.0230086
   7488  0.0394295
   6277  0.0394295
   1828  0.0417216
   9226  0.000545215
  12164  0.0981078
   9329  0.0222767
   7507  0.54953
   4259  0.0394295
   8740  0.0284663
   1564  0.0462409
   1244  0.164271
   7975  0.0394295
  11790  0.00721986
  11375  0.0394295
    418  0.0254296
   5410  0.0217642
  12069  0.0220146
   7359  0.117336
    365  0.0127558
   2069  0.0442237
  10047  0.0122721
   7474  0.0106286
    292  0.0788591
   1630  0.0394295
   2749  0.0101725
   1459  0.0788591
  11846  0.00925058
    810  0.0664799
    711  0.158096
   3818  0.0394295
   9470  0.0259198
   1842  0.018239
  11389  0.0120446
  11521  0.0293348
   6282  0.118289
  11918  0.0122269
   5321  0.0355243
   6452  0.0287994
   1829  0.0394295
   8983  0.0316192
    558  0.0117517
   9867  0.0355243
   1352  0.0394295
   8059  0.0788591
   3054  0.0394295
   7305  0.0297678
   7787  0.0394295
   5535  0.0508592
   6649  0.0355243
   1844  0.0394295
   4156  0.0613393
  12068  0.0394295
   1786  0.0177378
    646  0.0293348
    152  0.0394295
   6557  0.0880043
    744  0.0430488
   6291  0.0394295
   9121  0.0331061
   1144  0.0394295
   2122  0.0394295
   9574  0.0379799
   6656  0.0355243
   5499  0.0394295
  12065  0.0394295
   6597  0.0394295
    228  0.0109069
  11546  0.0563672
   1223  0.0231452
   5194  0.125255
     68  0.0122721
   1969  0.0193987
   3703  0.0394295
   5070  0.03324
    199  0.0377985
    740  0.0394295
   1205  0.0170609
   1752  0.0186464
   9294  0.0394295
  10642  0.0394295
   2821  0.0273113
   3944  0.0378708
   7073  0.0394295
   7138  0.0394295
   6600  0.00943975
   7357  0.276007
  11543  0.0394295
   7651  0.0788591
   4422  0.0158251
   7356  0.0394295
   6416  0.055428
   3350  0.0355243
   2039  0.0241724
   3019  0.0210734
    623  0.0300604
   3084  0.0228406
   2910  0.0394295
    364  0.0241865
   5742  0.0264568
   5927  0.0632383
   3232  0.0238088
   1629  0.0284663
   3161  0.0318221
  10173  0.0160872
   3373  0.0128961
   8797  0.20798
   9050  0.0788591
   5003  0.0259198
   9452  0.0394295
