41
  index     tf-idf
-------  ---------
   9257  0.0487705
   8112  0.564514
   5313  0.091369
   9587  0.0812165
   6892  0.0555201
    317  0.10822
   4771  0.0757327
   2780  0.133629
   5988  0.324659
   1522  0.126907
  11790  0.0509513
   5242  0.0752478
   7754  0.115469
   9486  0.10162
   1658  0.307185
   2838  0.214268
   7408  0.0437896
   4737  0.107671
   3289  0.150277
  11008  0.112903
   2736  0.0971979
     76  0.0803852
   6933  0.104531
   6609  0.0643555
   3517  0.138052
   1384  0.1278
   9790  0.161189
   3410  0.214268
   6382  0.0656593
  11108  0.0885777
   7123  0.0920985
   8822  0.104031
   8743  0.0902991
   2805  0.186709
  11110  0.103049
   9226  0.0115429
  11223  0.0377231
   9934  0.148718
   1443  0.119658
   9209  0.085034
   1188  0.120401
