214
  index      tf-idf
-------  ----------
   7512  0.0814442
   1178  0.0185207
   5646  0.0294524
   7409  0.0508684
   8122  0.0237793
   7384  0.0370964
   4771  0.0244697
   9784  0.0422004
   9579  0.0428428
   5749  0.0119782
  11657  0.0302425
   2011  0.221889
   3835  0.0435191
   8258  0.0951337
   5379  0.0267021
     82  0.0560043
   9929  0.0507954
   2418  0.0541655
   7408  0.0141487
  10565  0.0877422
   2645  0.0236308
  10907  0.0678765
   4143  0.127553
   6486  0.0757938
    128  0.0412932
   6175  0.0614927
   7395  0.0292904
  10904  0.0413517
    777  0.044233
  11299  0.0616803
   7208  0.0377442
   7143  0.0579017
  11850  0.0617509
   2535  0.0107024
   5255  0.0633572
   9389  0.0315412
   3051  0.167563
   8859  0.0387152
   8738  0.140959
  11629  0.04908
  11880  0.0344421
    131  0.0289509
   6069  0.0299978
   2864  0.0325063
  12057  0.0899072
   4656  0.123502
   4379  0.021462
   9767  0.0649089
  10632  0.0115676
   9915  0.0426758
   9574  0.0216505
   6560  0.0617509
   1423  0.0569563
   8498  0.0389024
   9580  0.0197154
   7431  0.0186704
   3291  0.0569563
   7655  0.034104
   7128  0.380879
  10931  0.216294
  11959  0.138463
   9353  0.0225007
   9482  0.0236308
  10536  0.0301195
    934  0.0915842
  12144  0.00820817
   9530  0.0375246
   4889  0.0158038
   4647  0.025973
   3561  0.0328342
   9531  0.027575
   9258  0.078397
    478  0.0442025
   6001  0.0232668
   2022  0.0453842
   3525  0.0393965
   1306  0.0366819
  10124  0.0229129
  10226  0.0160194
   6906  0.221165
   5946  0.0289509
  11389  0.013732
   7194  0.0149898
   7188  0.0334534
    495  0.0798209
   8390  0.0243131
  10973  0.0529728
    339  0.0514222
   7462  0.0560043
   5371  0.0175652
    149  0.0360843
   1422  0.0328342
   2141  0.0357008
   1156  0.0226366
    867  0.0679099
   2293  0.0542888
    953  0.0169801
    610  0.0221013
   4121  0.145971
    114  0.0351462
   7123  0.0297576
  10932  0.072098
  12105  0.0396509
   8935  0.0315412
   8691  0.0273758
   9226  0.0074592
   3957  0.0412932
   2069  0.134452
  12214  0.0527757
   1712  0.0260619
  11835  0.133778
    622  0.04908
  10843  0.0466488
   7474  0.121177
   2749  0.0231953
   1885  0.0422004
   8070  0.0451369
  11717  0.0251162
   3939  0.0551179
   7287  0.0810026
    575  0.0231953
   9261  0.0191823
   1521  0.0431765
   7868  0.111519
   1150  0.172376
   4268  0.034104
  10480  0.0542888
   8472  0.0209725
    655  0.147406
  11527  0.0201585
  10229  0.060485
   9690  0.0668983
   5567  0.026891
   6823  0.072098
    449  0.0475669
   3092  0.0384265
   4005  0.0140783
   1964  0.044233
   2377  0.0520811
  11800  0.0453842
   7755  0.0457921
   5792  0.0250336
   3952  0.0579846
   6124  0.02487
   4822  0.0422004
   2129  0.0457921
   6557  0.0668892
   4950  0.051606
   5257  0.0247889
   8228  0.0827251
   3504  0.0757938
    234  0.0235572
   8689  0.0659724
   8807  0.0308949
   4463  0.0514222
   2697  0.0591024
   9542  0.0263324
  12110  0.0370964
   3922  0.0349665
   6768  0.0290631
  12149  0.0194995
   7377  0.0410045
  11546  0.0428428
   2381  0.0569563
   8904  0.0235572
  11376  0.0551179
   6290  0.0928522
   4741  0.03314
  10046  0.0316786
   3641  0.102217
   1941  0.0185207
   9501  0.0270827
   8962  0.108578
   7392  0.0717822
   5179  0.0810026
   8199  0.0520811
   5274  0.0462133
   6706  0.0520811
   9494  0.0312884
    931  0.0250336
   7872  0.0311376
    553  0.0541655
   6600  0.0215245
   7155  0.0212149
   1696  0.0384265
   2098  0.060485
  11895  0.0271922
   3856  0.0375246
   4966  0.0377442
   3241  0.0452732
   8623  0.0240816
   2812  0.0462133
    287  0.0368875
   6447  0.0428428
   3977  0.0668892
   8542  0.0958737
   8014  0.0189238
    624  0.0285116
    118  0.0960214
   3081  0.0212149
   7115  0.0527757
   1899  0.0227051
   6488  0.138463
   4583  0.0810026
  10858  0.0202149
   5242  0.121565
   1784  0.0220359
  11223  0.0121886
  10930  0.0820129
   4740  0.0328342
   1103  0.072098
   1050  0.0692314
   3686  0.0590438
   3113  0.04908
