  index  term                      df
-------  ----------------------  ----
      1  aan                        1
      2  aaron                      2
      3  ab                         1
      4  aback                      1
      5  abahd                      1
      6  abandon                   39
      7  abat                       1
      8  abc                       49
      9  abcnew                     3
     10  abdallah                   2
     11  abdel                      3
     12  abdomin                    2
     13  abduct                     2
     14  abdul                     16
     15  abdullah                  40
     16  abdurahman                 1
     17  aberr                      1
     18  abhad                      1
     19  abhiyan                    1
     20  abhorr                     2
     21  abid                       8
     22  abidin                     4
     23  abidjan                   36
     24  abijan                     1
     25  abil                      32
     26  abl                      105
     27  ablaz                      3
     28  abnorm                     1
     29  aboard                    93
     30  abobo                      3
     31  abolish                    4
     32  abomin                     1
     33  abort                      7
     34  abou                       1
     35  abound                     4
     36  abovo                      1
     37  abraham                   10
     38  abreast                    1
     39  abrego                     1
     40  abroad                    52
     41  abrog                      2
     42  abrupt                     1
     43  abruptli                   4
     44  abscam                     1
     45  absenc                     6
     46  absent                     4
     47  absente                    7
     48  absentia                   3
     49  absolut                   43
     50  absorb                    10
     51  abstain                    1
     52  abstent                    1
     53  absurd                     2
     54  abu                        7
     55  abund                      2
     56  abus                      29
     57  abuzaakouk                 1
     58  abyan                      5
     59  abyssinian                 1
     60  ac                        27
     61  academ                     6
     62  academi                    4
     63  academia                   1
     64  acced                      1
     65  acceler                    4
     66  accent                     2
     67  accentu                    2
     68  accept                   124
     69  access                    41
     70  accid                     32
     71  accident                   3
     72  accommod                  11
     73  accompani                 33
     74  accomplic                  5
     75  accomplish                10
     76  accord                   145
     77  accordingli                1
     78  accordion                  1
     79  account                  125
     80  accredit                   1
     81  accumul                    2
     82  accur                     14
     83  accuraci                   1
     84  accus                    131
     85  accustom                   2
     86  acerb                      2
     87  achiev                    32
     88  acid                       2
     89  acknowledg                55
     90  acolyt                     1
     91  acosta                     1
     92  acquaint                   1
     93  acquiesc                   1
     94  acquir                     5
     95  acquisit                   1
     96  acquit                     5
     97  acquitt                    3
     98  acr                        1
     99  acrimoni                   2
    100  acrobat                    5
    101  acronym                    1
    102  act                      135
    103  action                    95
    104  activ                     90
    105  activist                  19
    106  actor                      4
    107  actress                    2
    108  actual                    66
    109  ad                       119
    110  adam                       8
    111  adapt                      5
    112  add                       18
    113  adden                      1
    114  addit                     71
    115  addition                   4
    116  address                   64
    117  adem                       1
    118  aden                     169
    119  adequ                      7
    120  adher                      4
    121  adiksa                     1
    122  adjac                      4
    123  adjam                      2
    124  adjoin                     3
    125  adjourn                    3
    126  adjust                     7
    127  adlai                      1
    128  adm                       44
    129  admen                      1
    130  administ                   9
    131  administr                115
    132  admir                     38
    133  admiralti                  1
    134  admiringli                 1
    135  admiss                     2
    136  admit                     40
    137  ado                        2
    138  adob                       1
    139  adolesc                    2
    140  adopt                     17
    141  adorn                      1
    142  adoubi                     1
    143  adra                       1
    144  adrain                     1
    145  adrenalin                  1
    146  adriat                     1
    147  adrift                     4
    148  adult                     10
    149  advanc                    66
    150  advani                     1
    151  advantag                  21
    152  adventist                  1
    153  adventur                   2
    154  advers                     2
    155  adversari                  2
    156  advertis                  12
    157  advic                      6
    158  advis                     84
    159  advisor                   10
    160  advisori                   2
    161  advoc                     13
    162  advocaci                   2
    163  aegi                       5
    164  aerial                     3
    165  aeroflot                   1
    166  af                         1
    167  affabl                     1
    168  affair                    48
    169  affect                    29
    170  affection                  1
    171  affili                     6
    172  affirm                     6
    173  afflict                    1
    174  afford                     7
    175  affront                    2
    176  afghan                    17
    177  afghanistan               46
    178  afi                        2
    179  afibia                     1
    180  afield                     1
    181  afir                       2
    182  afl                        2
    183  afloat                    13
    184  afoul                      1
    185  afraid                    28
    186  afredo                     1
    187  africa                    65
    188  african                   49
    189  aft                        3
    190  aftehock                   1
    191  aftermath                 14
    192  afternoon                 64
    193  aftershock                43
    194  afundament                 1
    195  ag                        42
    196  agarw                      1
    197  agassi                    47
    198  agbayani                   1
    199  agenc                    117
    200  agenda                    14
    201  agent                     83
    202  ager                       8
    203  agglomer                   1
    204  aggrav                    12
    205  aggress                   24
    206  agil                       1
    207  agit                       1
    208  ago                      207
    209  agon                       6
    210  agoni                      3
    211  agonizingli                1
    212  agre                      77
    213  agreement                 49
    214  agricultur                15
    215  agustin                    1
    216  ah                         1
    217  aha                        1
    218  ahead                     53
    219  ahemdabad                  1
    220  ahm                       15
    221  ahmad                      1
    222  ahmadabad                  2
    223  ahmar                      1
    224  ahmedabad                 20
    225  ahold                      1
    226  ahren                      1
    227  ai                         1
    228  aid                      158
    229  aida                       2
    230  ail                        5
    231  ailment                    1
    232  aim                       35
    233  ainst                      1
    234  air                      175
    235  aircraft                  27
    236  airdrop                    2
    237  airfield                   1
